,smiles,hepatotoxicity,mito_toxicity
6080,OC1(CCCC1)[C@@H](c1ccccc1)C(=O)OCCN(C)C,0,0.0
2345,CC1C2CCC34C(=O)OC(CC5(C)CCC(C)(CO)CC53)C4(C)C2CC2(C)C(C)OC(=O)C(O)CC12,0,0.0
509,C[N+]1(CCCC(C1)OC(=O)C(c2ccccc2)(c3ccccc3)O)C,0,0.0
5461,O=C(c1c(cccc1)OC(=O)C)O,1,0.0
4586,COCCNC(=O)CN(CCN(CCN(CC(=O)NCCOC)CC(=O)O)CC(=O)O)CC(=O)O,0,0.0
5515,O=C(N[C@H]1C[C@H]2N([C@@H](C1)CCC2)C)c1nn(c2c1cccc2)C,1,0.0
1745,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,1,0.0
748,c1c(c(=O)[nH]c(=O)n1C2CC(C(O2)CO)O)C(F)(F)F,0,0.0
5738,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,1,1.0
3034,CCCCc1ncc(n1Cc2ccc(cc2)C(=O)O)C=C(Cc3cccs3)C(=O)O,0,0.0
1328,CC(=O)OCC1OC(OC2C(OC3CCC4(C)C(CCC5(C)C4CC(O)C4C(C(C)=CCC=C(C)C)CCC45C)C3(C)C)OC(CO)C(O)C2O)C(O)C(O)C1O,0,1.0
5260,O(C[C@H](N)C)c1c(cccc1C)C,1,0.0
5399,O[C@H]([C@@H](NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1)CN(NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccc(cc1)c1ncccc1,1,1.0
5089,Nc1nc2c(ncn2CCC(CO)CO)c(=O)[nH]1,0,0.0
4567,COCC12CCC(C)C(C)C1C1(O)C=CC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C1(C)CC2,0,1.0
5478,O=C(CC1NCCCC1O)Cn1cnc2cc(Br)c(Cl)cc2c1=O,1,0.0
2226,CC12CCC3c4ccc(cc4CCC3C1CCC2=O)O,1,1.0
471,C[N+](C)(C)CC(=O)O.[Cl-],0,0.0
3441,Cl.Cl.O=C(CCN1CCN2CCCC2C1)N1c2ccccc2Sc2ccc(Cl)cc21,1,0.0
4103,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,0,0.0
1501,CC(C)=CCCC(C)(O)C1C(=O)CC2(C)C1CCC1C3(CO)CCC(OC4OC(CO)C(OC5OCC(O)C(O)C5O)C(O)C4O)C(C)(C)C3CCC12C,0,1.0
5743,O=c1c2cc(OC3OC(CO)C(O)C(O)C3O)c(O)cc2oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,0,0.0
6062,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,0,1.0
3159,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)O,1,0.0
896,C1CC2C(=O)NC(CSSCCC(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)N2C1)CC3=CNC4=CC=CC=C43)CC(=O)O)CCCCN=C(N)N)C(=O)N,0,0.0
4848,N1([C@H]2C3CCN(C2)CC3)C(=O)c2c3c(ccc2)CCCC3C1,0,0.0
251,[N+]1(CCN(CC(c2ccccc2)(C2CCCCC2)O)CC1)(C)C,0,0.0
1209,CC(=O)Nc1cccc(O)c1,0,0.0
2233,CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC(=O)CCC1CCCCC1,0,1.0
2439,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)SCF,0,1.0
2586,Cc1cn(c(=O)[nH]c1=O)C2C=CC(O2)CO,1,1.0
4622,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,1,1.0
1128,CC(=O)C=CC1=C(C)CCCC1(C)C,0,1.0
2402,Cc1cc(O)cc(C)c1Cl,0,1.0
5012,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O.O=S(=O)(O)O,0,0.0
2836,CCC1(C(=O)NC(=O)N(C1=O)C)c2ccccc2,1,0.0
3554,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,0,1.0
57,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)OCC(=O)O,1,0.0
5015,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0,0.0
2338,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)CNS(=O)(=O)N)C(=O)O)C(C)O,1,0.0
6377,s1c(C/C(=C\c2n(c(nc2)CCCC)Cc2ccc(cc2)C(=O)O)/C(=O)O)ccc1,0,0.0
292,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)O)ccc4[C@H]3CC[C@@]21C,1,1.0
1142,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,0,0.0
6131,Oc1cccc2cc3cccc(O)c3c(O)c12,1,1.0
4254,COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,1,0.0
1170,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(=O)(=O)[O-])[C@@H]1O[C@@H]1O[C@@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O,1,0.0
4205,COC(C)C(O)(C(=O)OCC1=CCN2CCCC12)C(C)C,1,0.0
2570,Cc1ccccc1N(C)C(=O)C1CCCC(C)N1C,0,0.0
6273,S(C[C@@H]1C[C@H]2[C@H](N(C1)CCC)Cc1c3c2cccc3[nH]c1)C,0,0.0
2045,CC1(O)CC(O)C2(O)CC(=O)OCC12,0,0.0
2018,CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2C1C(=O)O,1,0.0
1086,C1CO1.C=O.CC(C)(C)CC(C)(C)c1ccc(O)cc1,0,1.0
4374,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,1,1.0
1172,CC(=O)N=c1n(nc(s1)S(=O)(=O)N)C,0,0.0
4648,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)C(O)C1O,0,0.0
2063,CC1=C(C(=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)O,0,0.0
3162,CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2.C(S(=O)(=O)[O-])(I)I.[Na+],1,0.0
5128,NCCCCC(N)C(=O)O,0,0.0
4025,CN1CCN(CC1)c2c(cc3c(c2F)n(cc(c3=O)C(=O)O)CCF)F,1,0.0
3196,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,1,1.0
6105,Oc1cc(O)ccc1,1,0.0
4793,N(c1ccc(/C(=C\2/C=CC(=[N+](C)C)C=C2)/c2ccc(N(C)C)cc2)cc1)(C)C,0,1.0
2585,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,1,1.0
613,C=C1CCC(OC2OC(CO)C(O)C(O)C2O)C2(C)CC3OC(=O)C(C)=C3CC12,0,1.0
3668,CN(C)C(=O)Oc1ccc[n+](C)c1,0,0.0
3226,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=P(O)(O)O,1,0.0
2173,CC12CC(c3ccoc3)OC(=O)C1CC(=O)C1C3CC(CC12)OC3=O,1,0.0
6033,OC(=O)[C@H]1CCn2c1ccc2C(=O)c1ccccc1,1,0.0
5779,O=C1CC(OC2OC(CO)C(O)C(O)C2O)CO1,0,0.0
505,C[N+]1(CCc2cc(c(cc2C1Cc3cc(c(c(c3)OC)OC)OC)OC)OC)CCCOC(=O)CCC=CCCC(=O)OCCC[N+]4(CCc5cc(c(cc5C4Cc6cc(c(c(c6)OC)OC)OC)OC)OC)C,0,0.0
6386,S1c2c(cccc2)C(=Nc2c1cccc2)N1CCN(CC1)CCOCCO,1,0.0
272,Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O,0,0.0
6178,OCCCl,1,0.0
3197,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2,1,0.0
6253,S(=O)(=O)(Nc1ccc([C@@H](O)CNC(C)C)cc1)C,1,0.0
5194,O([C@H]1[C@@H]([C@H](O)[C@@H]([C@@H](O)[C@@H](C)/C=C/C=C(\C(=O)NC2=C3NC4(N=C3c3c(C2=O)c(O)c(c2O[C@](O/C=C/[C@H](OC)[C@H]1C)(C(=O)c32)C)C)CCN(CC4)CC(C)C)/C)C)C)C(=O)C,1,1.0
5820,O=C1N(C(=NC21CCCC2)CCCC)Cc1ccc(cc1)c1c(cccc1)c1n[nH]nn1,1,1.0
6414,S1SC[C@H](N)C(=O)N[C@@H](C(=O)N[C@@H]([C@@H](CC)C)C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N2[C@@H](CCC2)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N)C1)CC(=O)N)CCC(=O)N)Cc1ccc(O)cc1,1,0.0
106,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,1,0.0
1344,CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,1,0.0
1606,CC(C)Cc1ccc(cc1)CC(=O)O,1,0.0
4019,CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,1,0.0
1454,CC(C)(N)Cc1ccccc1,0,0.0
3402,CCOC(N)=O,1,0.0
952,c1ccc(cc1)C(CCN2CCCC2)(C3CCCCC3)O,0,0.0
3657,CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,1,1.0
4568,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,1,0.0
2812,CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC,1,0.0
3316,CCOC(=O)[C@@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O,1,0.0
1921,CC=C1CC(C)C(O)C(=O)OCC2=C3C(CCN3CC2)OC1=O,1,0.0
3482,ClC(Cl)C(Cl)(Cl)Cl,1,0.0
4959,NC(=O)C1CSSCCC(=O)NC(CCCCN=C(N)N)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)N2CCCC2C(=O)N1,0,0.0
6405,S1c2ccccc2N(c2c1cccc2)CC(C)CN(C)C,0,0.0
1024,c1ccc2c(c1)c(nnc2NN)NN,1,1.0
3053,CCCCCCC(=O)OC1CCC2C3CCc4cc(O)ccc4C3CCC12C,0,1.0
3886,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,0,0.0
416,C[C@](N)(Cc1ccc(O)cc1)C(=O)O,0,0.0
4733,Ic1c(C(=O)N(C[C@H](O)CO)C)c(I)c(NC(=O)C(CO)CO)c(I)c1C(=O)N(C[C@H](O)CO)C,0,0.0
3163,CCCN1C2CC(C3C1CC4(C2N(c5c4cccc5)C)C3O)C(CC)C=O,1,0.0
4247,COc1c(O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O,0,1.0
564,C=C1[C@H](O)[C@@]23CC[C@@H]4[C@H](C(=O)O)C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](OS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@H]5OC(=O)CC(C)C)C[C@@]4(C)[C@@H]2CC[C@@H]1C3,1,0.0
478,C[N+](C)(C)CCOC(=O)N,0,0.0
5704,O=c1[nH]cc(F)c(=O)[nH]1,1,0.0
1203,CC(=O)Nc1ccc(O)cc1,1,0.0
5117,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)CCC2N)C(O)C1OC1OC(CO)C(O)C(N)C1O,0,0.0
142,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,1,0.0
3734,CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl,1,0.0
3210,CCN(CC)CC#CCOC(=O)C(c1ccccc1)(C2CCCCC2)O,0,0.0
1483,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,0,0.0
3332,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N2C(CN(C2=O)C)C(=O)O,1,0.0
605,C=C1CC=CC(C)(C)CC(O)C(C)=CCC1O,0,0.0
1194,CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,0,0.0
5888,O=Cc1ccc(O)n1CCCC(=O)O,0,0.0
1559,CC(C)C1C(=O)OC2CCN3CC=C(COC(=O)C(O)(C(C)O)C1O)C23,1,0.0
4353,COc1cc(O)c(C(=O)C=Cc2ccccc2)c(OC)c1,1,1.0
3997,CN1CCCC1c1cccnc1,1,0.0
497,C[N+]1(C2CCC1CC(C2)OC(=O)C(c3ccccc3)O)C.[Br-],0,0.0
4412,COc1cc2oc(-c3ccc(OC4OC(CO)C(O)C(O)C4O)cc3)cc(=O)c2c(O)c1OC,0,1.0
2275,CC1C(C(CC(O1)OC2CC(Cc3c2c(c4c(c3O)C(=O)c5cccc(c5C4=O)OC)O)(C(=O)CO)O)N)O,1,1.0
3914,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O,0,0.0
2906,CCC1CC(=O)C2Oc3c(OC)ccc4c3C23CCN(CC2CC2)C(C4)C13,1,0.0
2755,CCC(=O)OC1CC(=O)OC(CC=CC=CC(C(CC(C(C1OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)OC(=O)CC)(C)OC(=O)C)N(C)C)O)CC=O)C)OC(=O)C)C,0,0.0
721,C1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)COP(=O)(O)O)C3=CC=CC=C3,1,0.0
3078,CCCCCCCCCC=CC=CC(=O)NCC(=O)NC1C(O)C(O)C(Nc2ncnc3nc[nH]c23)OC1C(O)CO,0,1.0
1025,c1ccc2c(c1)c(no2)CS(=O)(=O)N,1,0.0
4296,COc1cc(C=CC(=O)NCCc2ccc(O)cc2)ccc1O,0,0.0
1295,CC(=O)OC1OC(Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,0,1.0
4088,CNC1(C)C2CCC(C2)C1(C)C,0,0.0
2732,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,1,0.0
3039,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,0,0.0
1699,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,1,1.0
4347,COc1cc(NC(C)CCCN)c2ncccc2c1.O=P(O)(O)O.O=P(O)(O)O,1,0.0
2571,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,1,0.0
5163,O([C@@]1([C@@H](c2c(cc(cc2)F)CC1)[C@@H](C)C)CCN(CCCC1=Nc2ccccc2N1)C)C(=O)COC,0,1.0
1302,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,1,0.0
108,CC(C)NC1=NC=CC=N1,1,0.0
1351,CC(C(=O)OC(C)(C)Cc1ccc(cc1)Cl)N,1,0.0
5733,O=C1C=CCC2C3CCCN4CCCC(CN12)C34,0,0.0
4896,N1=CN(c2ccc(cc2)N2CCN(c3ccc(cc3)OCC3COC(O3)(c3ccc(cc3Cl)Cl)CN3C=NC=N3)CC2)C(=O)N1C(C)CC,1,1.0
5186,O([C@@H]1C([C@H](O[C@H]2C[C@]([C@@H](O)[C@@H](O2)C)(OC)C)[C@H](C(=O)O[C@@H]([C@@](C)(O)[C@H]([C@H](N(C[C@@H](C[C@]1(C)O)C)C)C)O)CC)C)C)[C@H]1[C@@H]([C@H](C[C@H](O1)C)N(C)C)O,1,0.0
2594,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,1,0.0
931,c1ccc(-c2ccccc2)cc1,1,1.0
336,C(C(CBr)Br)Cl,1,0.0
5617,O=C(O)C1OC(Oc2cc(O)c3c(=O)cc(-c4ccccc4O)oc3c2)C(O)C(O)C1O,0,1.0
3985,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,0,0.0
1593,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,1,0.0
1902,CC=C(C)C(=O)OC1CCN2CC=C(CO)C12,1,0.0
5508,O=C(N[C@@H](CC)CO)[C@H]1CN([C@H]2C(=C1)c1c3c(C2)c[nH]c3ccc1)C,0,1.0
4562,COCC(Cc1ccc(OC)c(OC)c1)C(COC)Cc1ccc(OC)c(OC)c1,0,0.0
6336,S1[C@H]2N([C@H](C1(C)C)C(=O)O)C(=O)[C@H]2NC(=O)c1c2c(ccc1OCC)cccc2,1,0.0
5312,O(CC1CC1)CCc1ccc(OC[C@@H](O)CNC(C)C)cc1,0,0.0
1557,CC(C)C1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C1(C)O)C23,1,0.0
5736,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,0,1.0
724,C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O,0,1.0
765,c1c(cc(c(c1Cl)NC2=NCCN2)Cl)N,0,0.0
286,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,0,0.0
